Id Marker Vertices Edges
0 0 41 43 15 0 1 2
1 0 23 28 31 3 4 5
2 0 4 51 50 6 7 8
3 0 47 55 61 9 10 11
4 0 6 22 29 12 13 14
5 0 26 22 24 15 16 17
6 0 38 41 15 18 2 19
7 0 51 54 50 20 21 7
8 0 14 15 17 22 23 24
9 0 13 16 20 25 26 27
10 0 65 5 61 28 29 30
11 0 85 10 73 31 32 33
12 0 69 70 68 34 35 36
13 0 80 11 78 37 38 39
14 0 64 30 35 40 41 42
15 0 12 21 42 43 44 45
16 0 26 20 21 46 47 48
17 0 17 16 14 49 50 24
18 0 15 18 38 51 52 19
19 0 7 38 18 53 52 54
20 0 37 14 16 55 50 56
21 0 36 1 16 57 58 59
22 0 9 16 17 60 49 61
23 0 15 9 17 62 61 23
24 0 15 14 18 22 63 51
25 0 56 19 11 64 65 66
26 0 78 77 39 67 68 69
27 0 21 20 9 47 70 71
28 0 16 9 20 60 70 26
29 0 12 22 21 72 73 43
30 0 21 43 42 74 75 44
31 0 28 23 25 3 76 77
32 0 13 20 26 27 46 78
33 0 22 26 21 15 48 73
34 0 28 25 29 77 79 80
35 0 22 6 24 12 81 16
36 0 12 48 29 82 83 84
37 0 13 26 24 78 17 85
38 0 42 46 12 86 87 45
39 0 31 33 23 88 89 5
40 0 25 6 29 90 14 79
41 0 31 28 27 4 91 92
42 0 12 29 22 84 13 72
43 0 27 28 29 91 80 93
44 0 34 31 27 94 92 95
45 0 34 35 31 96 97 94
46 0 76 0 33 98 99 100
47 0 48 12 46 82 87 101
48 0 32 34 48 102 103 104
49 0 48 34 27 103 95 105
50 0 76 33 31 100 88 106
51 0 35 34 32 96 102 107
52 0 35 32 66 107 108 109
53 0 35 30 75 41 110 111
54 0 16 13 36 25 112 59
55 0 16 1 37 58 113 56
56 0 77 38 7 114 53 115
57 0 41 38 19 18 116 117
58 0 40 52 51 118 119 120
59 0 77 78 19 67 121 122
60 0 44 46 42 123 86 124
61 0 40 45 19 125 126 127
62 0 45 4 44 128 129 130
63 0 43 21 9 74 71 131
64 0 44 42 41 124 132 133
65 0 15 43 9 1 131 62
66 0 41 42 43 132 75 0
67 0 45 44 41 130 133 134
68 0 44 4 46 129 135 123
69 0 19 45 41 126 134 117
70 0 4 45 40 128 125 136
71 0 49 46 4 137 135 138
72 0 27 29 48 93 83 105
73 0 50 47 49 139 140 141
74 0 47 50 55 139 142 9
75 0 49 48 46 143 101 137
76 0 48 47 62 144 145 146
77 0 50 49 4 141 138 8
78 0 48 49 47 143 140 144
79 0 51 4 40 6 136 120
80 0 55 50 59 142 147 148
81 0 52 40 56 118 149 150
82 0 51 72 54 151 152 20
83 0 68 52 11 153 154 155
84 0 54 53 59 156 157 158
85 0 68 70 52 35 159 153
86 0 84 85 58 160 161 162
87 0 72 51 52 151 119 163
88 0 59 53 10 157 164 165
89 0 67 63 65 166 167 168
90 0 61 66 62 169 170 171
91 0 19 56 40 64 149 127
92 0 11 52 56 154 150 66
93 0 54 59 50 158 147 21
94 0 81 57 68 172 173 174
95 0 73 10 53 32 164 175
96 0 10 55 59 176 148 165
97 0 5 65 63 28 167 177
98 0 86 60 67 178 179 180
99 0 66 5 64 181 182 183
100 0 48 62 32 146 184 104
101 0 47 61 62 11 171 145
102 0 61 55 65 10 185 30
103 0 55 67 65 186 168 185
104 0 66 32 62 108 184 170
105 0 67 55 10 186 176 187
106 0 5 66 61 181 169 29
107 0 35 66 64 109 183 42
108 0 10 85 86 31 188 189
109 0 63 67 60 166 179 190
110 0 11 80 81 37 191 192
111 0 70 69 8 34 193 194
112 0 74 8 71 195 196 197
113 0 68 57 69 173 198 36
114 0 72 70 74 199 200 201
115 0 54 72 53 152 202 156
116 0 73 53 74 175 203 204
117 0 52 70 72 159 199 163
118 0 53 72 74 202 201 203
119 0 58 73 71 205 206 207
120 0 8 74 70 195 200 194
121 0 71 73 74 206 204 197
122 0 35 76 31 208 106 97
123 0 75 76 35 209 208 111
124 0 0 76 75 98 209 210
125 0 80 39 79 211 212 213
126 0 38 77 19 114 122 116
127 0 11 19 78 65 121 38
128 0 57 81 83 172 214 215
129 0 82 2 79 216 217 218
130 0 39 80 78 211 39 69
131 0 80 79 81 213 219 191
132 0 81 68 11 174 155 192
133 0 83 81 79 214 219 220
134 0 79 39 82 212 221 218
135 0 79 2 83 217 222 220
136 0 60 86 88 178 223 224
137 0 87 3 84 225 226 227
138 0 58 85 73 161 33 205
139 0 85 84 86 160 228 188
140 0 86 67 10 180 187 189
141 0 88 86 84 223 228 229
142 0 84 58 87 162 230 227
143 0 84 3 88 226 231 229
